applicationId,user_userId,policy_policyId,applicantName,applicantAge,applicantAddress,applicantMobileNo,applicantEmail,applicantAadhar,applicantOccupation,applicationDate,status,applicantPan,documentFileName,documentMimeType,documentContent
1001,1,101,John Doe,30,"123 Main St, Mumbai",9876543210,john@email.com,456789908754,Software Engineer,2025-04-01,Pending,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1002,1,101,Dummy,30,"123 Main St, Mumbai",9876543210,dummy@email.com,456789908754,Software Engineer,2025-04-01,Approved,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1003,1,101,Test,30,"123 Main St, Mumbai",9876543210,test@email.com,456789908754,Software Engineer,2025-04-01,Rejected,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1004,1,104,Nothing,28,"101 Pine Rd, Chennai",6543210987,nothing@email.com,1234567890,Designer,2025-04-04,Pending,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1005,1,104,Emily Davis,28,"101 Pine Rd, Chennai",6543210987,emily@email.com,1234567890,Designer,2025-04-04,Rejected,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1006,1,104,user,28,"101 Pine Rd, Chennai",6543210987,user@email.com,1234567890,Designer,2025-04-04,Approved,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1007,7,107,Ethan Taylor,40,"404 Birch Blvd, Kolkata",3210987654,ethan.taylor@email.com,1234567890,Finance Manager,2025-04-07,Pending,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1008,8,108,Olivia Anderson,29,"505 Elm Ct, Jaipur",2109876543,olivia.anderson@email.com,1234567890,HR Executive,2025-04-08,Approved,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1009,9,109,Liam Harris,55,"606 Walnut St, Ahmedabad",1098765432,liam.harris@email.com,1234567890,Entrepreneur,2025-04-09,Rejected,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
1010,10,110,Ava Clark,32,"707 Spruce Way, Lucknow",9876543211,ava.clark@email.com,1234567890,Marketing Manager,2025-04-10,Pending,PLACEHOLDER_PAN,PLACEHOLDER_FILENAME,application/octet-stream,PLACEHOLDER_BINARY
