userId,email,phone,username,password,role,failedAttempts,lastFailedAttempt,isLocked,lockUntil,otp,otpGeneratedAt
1,john.doe@email.com,9876543210,john_doe,password123,Admin,0,,False,,123456,
2,jane.smith@email.com,8765432109,jane_smith,securePass,User,0,,False,,123456,
3,michael.brown@email.com,7654321098,michael_b,pass789,Agent,0,,False,,123456,
4,emily.davis@email.com,6543210987,emily_d,passwordX,User,0,,False,,123456,
5,daniel.wilson@email.com,5432109876,daniel_w,dWilson456,Admin,0,,False,,123456,
6,sophia.martinez@email.com,4321098765,sophia_m,PassSophia,User,0,,False,,123456,
7,ethan.taylor@email.com,3210987654,ethan_t,EthanPass987,Agent,0,,False,,123456,
8,olivia.anderson@email.com,2109876543,olivia_a,OlivSecure1,User,0,,False,,123456,
9,liam.harris@email.com,1098765432,liam_h,Liam123Pass,Admin,0,,False,,123456,
10,ava.clark@email.com,9876543211,ava_c,AvaSafe456,User,0,,False,,123456,
